date,Kabupaten,Rainfall_mm
2015-08-13,Bandung,0
2015-08-14,Bandung,0
2015-08-15,Bandung,0
2015-08-16,Bandung,0
2015-08-17,Bandung,0
2015-08-18,Bandung,0
2015-08-19,Bandung,0
2015-08-20,Bandung,0
2015-08-21,Bandung,0
2015-08-22,Bandung,0
2015-08-23,Bandung,0
2015-08-24,Bandung,0
2015-08-25,Bandung,0
2015-08-26,Bandung,0
2015-08-27,Bandung,0
2015-08-28,Bandung,0
2015-08-29,Bandung,0
2015-08-30,Bandung,0
2015-08-31,Bandung,0
2015-09-01,Bandung,0
2015-09-02,Bandung,0
2015-09-03,Bandung,0
2015-09-04,Bandung,0
2015-09-05,Bandung,0
2015-09-06,Bandung,0
2015-09-07,Bandung,0
2015-09-08,Bandung,0
2015-09-09,Bandung,0
2015-09-10,Bandung,0
2015-09-11,Bandung,0.8364177346
2015-09-12,Bandung,0
2015-09-13,Bandung,0
2015-09-14,Bandung,0
2015-09-15,Bandung,0
2015-09-16,Bandung,0
2015-09-17,Bandung,0
2015-09-18,Bandung,0.03366708755
2015-09-19,Bandung,0
2015-09-20,Bandung,0
2015-09-21,Bandung,28.72314262
2015-09-22,Bandung,0
2015-09-23,Bandung,2.232170105
2015-09-24,Bandung,0.005543442909
2015-09-25,Bandung,0
2015-09-26,Bandung,0
2015-09-27,Bandung,0
2015-09-28,Bandung,0
2015-09-29,Bandung,0
2015-09-30,Bandung,0
2015-10-01,Bandung,0.3051701188
2015-10-02,Bandung,0
2015-10-03,Bandung,0
2015-10-04,Bandung,0
2015-10-05,Bandung,7.236637831
2015-10-06,Bandung,0
2015-10-07,Bandung,28.15691471
2015-10-08,Bandung,0
2015-10-09,Bandung,0
2015-10-10,Bandung,0
2015-10-11,Bandung,0
2015-10-12,Bandung,2.719057739
2015-10-13,Bandung,25.15639687
2015-10-14,Bandung,0
2015-10-15,Bandung,0
2015-10-16,Bandung,0
2015-10-17,Bandung,0
2015-10-18,Bandung,0
2015-10-19,Bandung,0.6766229421
2015-10-20,Bandung,0
2015-10-21,Bandung,0
2015-10-22,Bandung,0
2015-10-23,Bandung,0
2015-10-24,Bandung,0
2015-10-25,Bandung,0
2015-10-26,Bandung,0
2015-10-27,Bandung,0.1376466863
2015-10-28,Bandung,0
2015-10-29,Bandung,0.7109191865
2015-10-30,Bandung,0.03054485377
2015-10-31,Bandung,0.7474671453
2015-11-01,Bandung,6.067370653
2015-11-02,Bandung,0.04486402217
2015-11-03,Bandung,25.60831833
2015-11-04,Bandung,5.340537071
2015-11-05,Bandung,57.75767899
2015-11-06,Bandung,1.617514372
2015-11-07,Bandung,41.35616684
2015-11-08,Bandung,34.0419817
2015-11-09,Bandung,32.13832569
2015-11-10,Bandung,8.775391102
2015-11-11,Bandung,12.88328362
2015-11-12,Bandung,39.83309841
2015-11-13,Bandung,17.16218233
2015-11-14,Bandung,2.460696101
2015-11-15,Bandung,7.263329744
2015-11-16,Bandung,5.907435536
2015-11-17,Bandung,3.54662776
2015-11-18,Bandung,12.95774603
2015-11-19,Bandung,36.92137241
2015-11-20,Bandung,3.553845406
2015-11-21,Bandung,34.09472752
2015-11-22,Bandung,0.2597857118
2015-11-23,Bandung,9.682226658
2015-11-24,Bandung,13.86099958
2015-11-25,Bandung,23.58058691
2015-11-26,Bandung,11.4450717
2015-11-27,Bandung,1.914357662
2015-11-28,Bandung,16.70624685
2015-11-29,Bandung,2.242029548
2015-11-30,Bandung,7.963854074
2015-12-01,Bandung,12.98719597
2015-12-02,Bandung,63.46095657
2015-12-03,Bandung,11.07158089
2015-12-04,Bandung,9.0025599
2015-12-05,Bandung,6.738673925
2015-12-06,Bandung,23.60294151
2015-12-07,Bandung,30.44736385
2015-12-08,Bandung,15.94085026
2015-12-09,Bandung,25.82960987
2015-12-10,Bandung,16.78967142
2015-12-11,Bandung,19.71994686
2015-12-12,Bandung,27.93625832
2015-12-13,Bandung,28.95740604
2015-12-14,Bandung,9.834952354
2015-12-15,Bandung,30.82439518
2015-12-16,Bandung,15.25779676
2015-12-17,Bandung,1.907312214
2015-12-18,Bandung,7.698774576
2015-12-19,Bandung,4.203851223
2015-12-20,Bandung,0.03495300561
2015-12-21,Bandung,0.6858307421
2015-12-22,Bandung,0.2411156818
2015-12-23,Bandung,1.016218096
2015-12-24,Bandung,0.01013573189
2015-12-25,Bandung,0.004708748194
2015-12-26,Bandung,1.243067265
2015-12-27,Bandung,0.7559902668
2015-12-28,Bandung,0.6968387067
2015-12-29,Bandung,6.520889282
2015-12-30,Bandung,0.3592380434
2015-12-31,Bandung,8.564033747
2016-01-01,Bandung,18.90617752
2016-01-02,Bandung,13.09017849
2016-01-03,Bandung,17.71130276
2016-01-04,Bandung,5.353216052
2016-01-05,Bandung,20.2986331
2016-01-06,Bandung,25.05766869
2016-01-07,Bandung,0
2016-01-08,Bandung,0.00207641552
2016-01-09,Bandung,10.43305707
2016-01-10,Bandung,5.930793285
2016-01-11,Bandung,7.333676577
2016-01-12,Bandung,23.48162985
2016-01-13,Bandung,33.45174694
2016-01-14,Bandung,9.688558817
2016-01-15,Bandung,2.099239826
2016-01-16,Bandung,1.783189952
2016-01-17,Bandung,15.94798565
2016-01-18,Bandung,18.61453485
2016-01-19,Bandung,21.4656229
2016-01-20,Bandung,36.22892189
2016-01-21,Bandung,23.00609779
2016-01-22,Bandung,0.7172104865
2016-01-23,Bandung,1.471553922
2016-01-24,Bandung,2.172497034
2016-01-25,Bandung,0.001961124362
2016-01-26,Bandung,16.68193245
2016-01-27,Bandung,0.9666289687
2016-01-28,Bandung,6.640795469
2016-01-29,Bandung,3.241164923
2016-01-30,Bandung,10.0624795
2016-01-31,Bandung,11.18876696
2016-02-01,Bandung,2.080839336
2016-02-02,Bandung,27.45167255
2016-02-03,Bandung,3.930991888
2016-02-04,Bandung,1.868611515
2016-02-05,Bandung,6.7841084
2016-02-06,Bandung,5.848362923
2016-02-07,Bandung,27.420084
2016-02-08,Bandung,22.60436869
2016-02-09,Bandung,20.96068954
2016-02-10,Bandung,21.63079405
2016-02-11,Bandung,13.56032038
2016-02-12,Bandung,18.23295021
2016-02-13,Bandung,4.535094738
2016-02-14,Bandung,6.792476177
2016-02-15,Bandung,0.3642997295
2016-02-16,Bandung,8.530086994
2016-02-17,Bandung,5.504873157
2016-02-18,Bandung,12.62499475
2016-02-19,Bandung,0.4663063288
2016-02-20,Bandung,10.36150718
2016-02-21,Bandung,15.20514965
2016-02-22,Bandung,28.4851656
2016-02-23,Bandung,4.075248599
2016-02-24,Bandung,14.40962934
2016-02-25,Bandung,12.8775444
2016-02-26,Bandung,27.49217892
2016-02-27,Bandung,24.12147331
2016-02-28,Bandung,0.669794172
2016-02-29,Bandung,6.676221371
2016-03-01,Bandung,0.0438656956
2016-03-02,Bandung,0.01497276546
2016-03-03,Bandung,3.064310074
2016-03-04,Bandung,13.95056677
2016-03-05,Bandung,9.769432068
2016-03-06,Bandung,20.44001913
2016-03-07,Bandung,12.55713558
2016-03-08,Bandung,31.44953156
2016-03-09,Bandung,18.51657343
2016-03-10,Bandung,18.1219182
2016-03-11,Bandung,15.60694456
2016-03-12,Bandung,34.10198307
2016-03-13,Bandung,20.40433645
2016-03-14,Bandung,11.54311824
2016-03-15,Bandung,18.37377119
2016-03-16,Bandung,3.78342247
2016-03-17,Bandung,7.535795689
2016-03-18,Bandung,35.54029655
2016-03-19,Bandung,14.83707476
2016-03-20,Bandung,6.114800692
2016-03-21,Bandung,5.627700806
