date,Kabupaten,NDVI_8Day_Mean
2014-04-97,Kota Bogor,0.4799631593976944
2014-04-97,Kota Cirebon,0.512986504466777
2014-04-97,Kota Sukabumi,0.49900940508159214
2014-04-97,Kuningan,0.6487248617713856
2014-04-97,Majalengka,0.6382747600773415
2014-04-97,Purwakarta,0.6640482329595684
2014-04-97,Subang,0.6128787008285382
2014-04-97,Sukabumi,0.6828984141955021
2014-04-97,Sumedang,0.7028018548381533
2014-04-97,Kota Bekasi,0.27449059319167946
2014-04-97,Kota Depok,0.4763550214653868
2014-04-105,Bandung,0.6053229686085647
2014-04-105,Kota Cimahi,0.35881691973196245
2014-04-105,Kota Tasikmalaya,0.6038767410407725
2014-04-105,Tasikmalaya,0.6994216261245858
2014-04-105,Ciamis,0.6542766632858636
2014-04-105,Kota Banjar,0.6291704711286261
2014-04-105,Bekasi,0.47157595676949243
2014-04-105,Bogor,0.6519736271687606
2014-04-105,Cianjur,0.6714304646111903
2014-04-105,Cirebon,0.5884035794087765
2014-04-105,Garut,0.6719435147221399
2014-04-105,Indramayu,0.531709062004913
2014-04-105,Karawang,0.5171372027866218
2014-04-105,Kota Bandung,0.38730562117608464
2014-04-105,Kota Bogor,0.5524758716619199
2014-04-105,Kota Cirebon,0.48665301412401196
2014-04-105,Kota Sukabumi,0.5477629404210052
2014-04-105,Kuningan,0.6837504366473431
2014-04-105,Majalengka,0.5671180222906113
2014-04-105,Purwakarta,0.6464389951525122
2014-04-105,Subang,0.5299182573488667
2014-04-105,Sukabumi,0.6369215151192696
2014-04-105,Sumedang,0.6711715609847905
2014-04-105,Kota Bekasi,0.3927406755480303
2014-04-105,Kota Depok,0.5236356006832654
2014-04-113,Bandung,0.6242855629891052
2014-04-113,Kota Cimahi,0.3577213829647587
2014-04-113,Kota Tasikmalaya,0.6020169241285581
2014-04-113,Tasikmalaya,0.7106798493443386
2014-04-113,Ciamis,0.6980665626568089
2014-04-113,Kota Banjar,0.6351657979725133
2014-04-113,Bekasi,0.4588430656999777
2014-04-113,Bogor,0.6540263414112262
2014-04-113,Cianjur,0.6909784280174807
2014-04-113,Cirebon,0.5616841570509271
2014-04-113,Garut,0.6857059180913792
2014-04-113,Indramayu,0.5050642520332741
2014-04-113,Karawang,0.48162912942131253
2014-04-113,Kota Bandung,0.3756158962292628
2014-04-113,Kota Bogor,0.5410668024346027
2014-04-113,Kota Cirebon,0.47364132927568753
2014-04-113,Kota Sukabumi,0.5811691110576496
2014-04-113,Kuningan,0.6680587039456719
2014-04-113,Majalengka,0.6008550059701876
2014-04-113,Purwakarta,0.6232184042026938
2014-04-113,Subang,0.5419906334139377
2014-04-113,Sukabumi,0.676318845777076
2014-04-113,Sumedang,0.6857871988917326
2014-04-113,Kota Bekasi,0.3889508764428215
2014-04-113,Kota Depok,0.5144391348485777
2014-05-121,Bandung,0.6076801521840066
2014-05-121,Kota Cimahi,0.298769512077215
2014-05-121,Kota Tasikmalaya,0.61248350390406
2014-05-121,Tasikmalaya,0.7614232927989466
2014-05-121,Ciamis,0.7195036236904142
2014-05-121,Kota Banjar,0.6486716356083666
2014-05-121,Bekasi,0.43637054549732485
2014-05-121,Bogor,0.5819992340892093
2014-05-121,Cianjur,0.7028993825766205
2014-05-121,Cirebon,0.5255097581397509
2014-05-121,Garut,0.7126340166896048
2014-05-121,Indramayu,0.411987593622355
